outcome,term,log_odds,odds_ratio,or_low,or_high,p
judge,arm_Native,-0.26838296312319215,0.7646149057138751,0.6515865892384143,0.897249826340304,0.001007544700828279
judge,ix_Claude_Sonnet_5__No_search,-0.7776714226043102,0.45947468894760946,0.37585109839565584,0.5617037988838364,3.2677616945689274e-14
judge,ix_Claude_Sonnet_5__Wide,0.113285902361687,1.1199520841262443,0.926029202157367,1.354485007402139,0.24289560687620426
judge,ix_Claude_Sonnet_5__Native,0.2407498960372337,1.2722028125506402,1.0419099467812918,1.5533972021878586,0.01813175920198279
judge,ix_DeepSeek_V4__No_search,-2.1905359222207537,0.1118567860139513,0.08518399654734307,0.14688135194991792,5.77658358262676e-56
judge,ix_DeepSeek_V4__Wide,0.06630338156548374,1.068550846624704,0.8828395844572771,1.293327725584813,0.49607360520121657
judge,ix_GLM_5_2__No_search,-3.1760196736859077,0.04175150945675977,0.028146580309465156,0.06193251623294712,3.836241542479268e-56
judge,ix_GLM_5_2__Wide,0.03899918595715598,1.0397696372327807,0.8670090541474675,1.2469545656293723,0.673999532945933
gated,Intercept,-1.0545829450981616,0.34833767295038726,0.23758887786574734,0.5107104991044875,6.592662011763323e-08
gated,cat_Arts_and_culture,0.3108257357901949,1.3645514079927468,0.48602663218511416,3.8310669040576424,0.555099817935488
gated,cat_Business_and_economy,-0.15821308380055835,0.8536678597948564,0.39001499503422177,1.8685148625703143,0.6922156183955288
gated,cat_Disasters_and_accidents,-0.13479278009380213,0.8738969817773136,0.5020537209115502,1.5211438596110776,0.6336072971673206
gated,cat_International_relations,-0.1160128291755169,0.8904637993078198,0.42999351136875025,1.8440412632127523,0.7547757878110584
gated,cat_Law_and_crime,0.23348442043964243,1.2629931508596084,0.7682024985938722,2.076472937849158,0.3573524677497327
gated,cat_Other_small_categories,0.5036179047349657,1.6546969904663196,0.726473213041835,3.768923727819021,0.23048532225820995
gated,cat_Politics_and_elections,0.15837650642004703,1.1716072293198905,0.7022276568098523,1.9547271977730112,0.5442339004722616
gated,cat_Sports,1.262924007536079,3.535744931921836,1.7134165454432617,7.296236432908266,0.0006334984178251183
gated,quant,0.9166450512136369,2.5008859552949834,1.7183101045340505,3.6398730036495355,1.6926524620061006e-06
gated,age30,-0.026054845198123913,0.9742816534730918,0.9041422850998617,1.0498621245099942,0.49429305895494813
gated,mdl_Claude_Sonnet_5,-0.286667311755137,0.7507614568053602,0.6818328876217203,0.8266582255815369,5.403420890136772e-09
gated,mdl_DeepSeek_V4,-0.27045777886858907,0.7630301153109005,0.6937293457283705,0.8392537528595947,2.5881568533441188e-08
gated,mdl_GLM_5_2,-0.27814772127406806,0.7571849609253115,0.6887237740244202,0.832451392960245,8.787419328148158e-09
gated,arm_No_search,-0.738843549506506,0.477665993307878,0.4159889432584372,0.5484876578102994,1.1334859319933266e-25
gated,arm_Wide,-0.0064220438226189735,0.9935985334279122,0.922635485285453,1.0700195921086404,0.8651147410951018
gated,arm_Native,-0.14309644511111136,0.8666704787340042,0.7936209676303607,0.9464438936785635,0.00144665821705675
gated,ix_Claude_Sonnet_5__No_search,-0.7014704449716601,0.4958556390258658,0.40876990627303,0.6014944128238338,1.0892887840946685e-12
gated,ix_Claude_Sonnet_5__Wide,-0.001300700674864266,0.9987001448696187,0.8931588272239531,1.1167128946848621,0.9817898754950378
gated,ix_Claude_Sonnet_5__Native,0.10139765414637283,1.1067166447357613,0.9820601338542285,1.24719626580116,0.09630137920001883
gated,ix_DeepSeek_V4__No_search,-1.8480119030593705,0.15755007999122486,0.11424769315644032,0.21726502320928565,1.836217389001331e-29
gated,ix_DeepSeek_V4__Wide,0.027678680243710625,1.0280652936541208,0.923662067001604,1.1442694095331924,0.6124447075175861
gated,ix_GLM_5_2__No_search,-2.9829074659181396,0.050645369908644516,0.028960799528035507,0.08856639094857971,1.3123790244081282e-25
gated,ix_GLM_5_2__Wide,0.008129778712327708,1.0081629150995797,0.9109977838649252,1.1156914773930824,0.8750662055153737
